date, pm25, pm10, o3, no2, so2, co
2019/6/9, 80, 42, 62, 11, 4, 4
2019/6/10, 75, 47, 59, 11, 5, 7
2019/6/11, 80, 55, 39, 9, 4, 7
2019/6/12, 65, 38, 49, 6, 5, 4
2019/6/13, 59, 39, 41, 9, 4, 4
2019/6/14, 63, 35, 52, 12, 5, 4
2019/6/15, 57, 30, 48, 6, 3, 5
2019/6/16, 64, 30, 45, 9, 4, 5
2019/6/17, 67, 30, 67, 11, 5, 4
2019/6/18, 60, 27, 78, 11, 4, 4
2019/6/19, 51, 24, 59, 11, 6, 5
2019/6/20, 52, 35, 76, 10, 4, 5
2019/6/21, 65, 39, 50, 9, 2, 5
2019/6/22, 70, 34, 71, 7, 3, 4
2019/6/23, 76, 27, 63, 6, 4, 3
2019/6/24, 61, 34, 97, 6, 5, 4
2019/6/25, 67, 33, 86, 7, 4, 4
2019/6/26, 65, 16, 81, 8, 4, 7
2019/6/27, 51, 17, 67, 10, 5, 5
2019/6/28, 49, 22, 71, 11, 3, 4
2019/6/29, 52, 23, 88, 9, 4, 5
2019/6/30, 52, 20, 88, 9, 2, 4
2019/7/1, 46, 30, 104, 12, 3, 4
2019/1/2, 234, , , , , 
2019/1/7, 30, 56, 27, 20, 4, 12
2019/1/8, 84, 70, 36, 22, 6, 10
2019/1/9, 105, 65, 29, 20, 5, 7
2019/1/10, 92, 48, 34, 15, 3, 3
2019/1/11, 69, 43, 20, 15, 3, 9
2019/1/12, 73, 44, 25, 15, 3, 9
2019/1/13, 76, 40, 24, 13, 3, 8
2019/1/14, 75, 38, 23, 15, 3, 9
2019/1/15, 62, 35, 21, 17, 3, 6
2019/1/16, 69, 65, 25, 21, 5, 8
2019/1/17, 112, 37, 25, 16, 3, 6
2019/1/18, 63, 36, 27, 17, 4, 9
2019/1/19, 64, 73, 30, 19, 5, 11
2019/1/20, 106, 60, 25, 13, 3, 8
2019/1/21, 50, 63, 34, 19, 5, 13
2019/1/22, 97, 51, 30, 17, 5, 8
2019/1/23, 89, 40, 26, 15, 3, 8
2019/1/24, 66, 65, 27, 19, 6, 10
2019/1/25, 100, 48, 22, 15, 4, 7
2019/1/26, 70, 33, 22, 11, 4, 5
2019/1/27, 53, 37, 31, 14, 2, 8
2019/1/28, 59, 74, 32, 20, 7, 15
2019/1/29, 106, 48, 32, 15, 5, 8
2019/1/30, 71, 38, 29, 14, 5, 8
2019/1/31, 55, 38, 21, 12, 4, 8
2019/2/1, 63, 23, 4, 14, 5, 6
2019/2/2, 54, 65, 29, 15, 5, 10
2019/2/3, 97, 54, 27, 15, 5, 10
2019/2/4, 82, 53, 31, 16, 3, 10
2019/2/5, 82, 53, 32, 17, 5, 9
2019/2/6, 78, 58, 29, 16, 5, 9
2019/2/7, 80, 64, 45, 18, 6, 9
2019/2/8, 90, 67, 30, 20, 3, 12
2019/2/9, 108, 51, 32, 14, 5, 6
2019/2/10, 75, 42, 32, 12, 3, 6
2019/2/11, 77, 37, 23, 10, 5, 6
2019/2/12, 59, 43, 31, 13, 4, 5
2019/2/13, 65, 42, 28, 11, 3, 4
2019/2/14, 60, 45, 19, 10, 6, 6
2019/2/15, 59, 48, 22, 11, 5, 6
2019/2/16, 56, 54, 27, 11, 4, 9
2019/2/17, 76, 35, 22, 10, 4, 5
2019/2/18, 55, 43, 19, 9, 5, 4
2019/2/19, 55, 46, 15, 9, 4, 5
2019/2/20, 52, 42, 17, 9, 4, 6
2019/2/21, 53, 57, 14, 8, 5, 7
2019/2/22, 69, 24, 12, 6, 4, 4
2019/2/23, 33, 22, 19, 9, 4, 8
2019/2/24, 50, 88, 22, 12, 4, 14
2019/2/25, 88, 10, 21, 11, 3, 7
2019/2/26, 61, 44, 26, 14, 5, 8
2019/2/27, 69, 39, 27, 13, 4, 7
2019/2/28, 56, 45, 33, 13, 4, 7
2019/3/1, 64, 39, 20, 5, 5, 4
2019/3/2, 51, 36, 33, 11, 4, 8
2019/3/3, 64, 38, 33, 12, 5, 7
2019/3/4, 66, 37, 31, 11, 4, 8
2019/3/5, 65, 53, 52, 15, 5, 8
2019/3/6, 83, 44, 38, 12, 4, 8
2019/3/7, 74, 51, 32, 13, 3, 7
2019/3/8, 76, 50, 33, 13, 4, 7
2019/3/9, 73, 46, 28, 13, 4, 8
2019/3/10, 69, 40, 37, 12, 4, 8
2019/3/11, 69, 61, 35, 14, 5, 10
2019/3/12, 90, 51, 27, 9, 4, 5
2019/3/13, 77, 41, 27, 7, 3, 4
2019/3/14, 68, 48, 32, 9, 2, 4
2019/3/15, 73, 55, 23, 10, 5, 6
2019/3/16, 73, 40, 22, 8, 4, 5
2019/3/17, 63, 35, 25, 8, 5, 7
2019/3/18, 75, 34, 26, 7, 4, 5
2019/3/19, 64, 28, 34, 8, 4, 5
2019/3/20, 44, 42, 28, 11, 4, 7
2019/3/21, 54, 41, 7, , 3, 2
2019/3/22, 31, 40, 23, 7, 4, 2
2019/3/23, 49, 31, 33, 8, 3, 5
2019/3/24, 48, 39, 37, 9, 2, 6
2019/3/25, 63, 53, 44, 12, 4, 5
2019/3/26, 82, 56, 43, 11, 3, 7
2019/3/27, 80, 59, 43, 11, 4, 7
2019/3/28, 81, 56, 49, 11, 4, 6
2019/3/29, 86, 46, 38, 12, 4, 6
2019/3/30, 74, 52, 42, 13, 4, 7
2019/3/31, 74, 42, 38, 9, 3, 6
2019/4/1, 56, 40, 32, 8, 5, 6
2018/10/17, 5, 34, 7, 11, 4, 5
2018/10/18, 42, 32, 6, 10, 1, 3
2018/10/19, 24, 27, 5, 9, , 
2018/10/20, 23, 24, 7, 8, 1, 
2018/11/8, 59, 44, 30, 17, 2, 4
2018/11/9, 63, 42, 36, 14, 3, 10
2018/11/10, 71, 50, 39, 14, 3, 8
2018/11/11, 80, 57, 44, 12, 4, 7
2018/11/12, 55, 34, 39, 11, 4, 6
2018/11/13, 59, 38, 20, 13, 2, 6
2018/11/14, 61, 42, 34, 13, 3, 5
2018/11/15, 32, 28, 23, 10, 1, 4
2018/11/16, 56, 42, 32, 15, 3, 8
2018/11/17, 96, 73, 34, 17, 5, 10
2018/11/18, 85, 68, 45, 18, 6, 10
2018/11/19, 104, 75, 35, 15, 6, 10
2018/11/20, 78, 50, 30, 14, 4, 8
2018/11/21, 99, 84, 34, 22, 5, 11
2018/11/22, 94, 83, 41, 19, 4, 11
2018/11/23, 81, 73, 47, 17, 5, 12
2018/11/24, 87, 73, 47, 19, 4, 13
2018/11/25, 112, 83, 24, 16, 6, 14
2018/11/26, 68, 47, 24, 13, 5, 8
2018/11/27, 101, 89, 27, 16, 4, 17
2018/11/28, 76, 55, 23, 13, 6, 8
2018/11/29, 43, 19, 7, 13, 2, 8
2018/11/30, 28, 16, 13, 12, 3, 6
2018/12/1, 42, 27, 25, 12, 4, 6
2018/12/2, 83, 68, 1, 19, 6, 17
2018/12/3, 61, 34, 35, 14, 3, 10
